report_date,ticker,fiscal_quarter,fiscal_quarter_end,roe,gross_margin,fcf_yield,debt_to_assets,pe,pb,ev_ebitda,earnings_yield
2015-05-05,NEE,2015Q1,2015-03-31,0.1097,0.406,0.0241,0.55,29.49,3.06,16.32,0.0339
2015-05-05,NVDA,2015Q1,2015-03-31,0.3652,0.6476,0.027,0.2357,35.29,11.48,26.79,0.0283
2015-05-05,PG,2015Q1,2015-03-31,0.2378,0.5104,0.049,0.5315,28.94,5.76,16.32,0.0346
2015-05-05,PLD,2015Q1,2015-03-31,0.0774,0.7869,0.0236,0.3692,33.02,2.61,22.1,0.0303
2015-05-05,UNH,2015Q1,2015-03-31,0.2194,0.2106,0.0472,0.3623,15.41,3.8,11.41,0.0649
2015-05-05,UPS,2015Q1,2015-03-31,0.5169,0.2086,0.0653,0.7378,15.95,32.47,12.99,0.0627
2015-05-05,V,2015Q1,2015-03-31,0.3206,0.8377,0.0458,0.4061,26.86,10.54,25.78,0.0372
2015-05-05,WMT,2015Q1,2015-03-31,0.2125,0.2338,0.045,0.5827,28.96,5.34,14.96,0.0345
2015-05-05,XOM,2015Q1,2015-03-31,0.1392,0.3257,0.0364,0.4743,14.09,1.83,11.43,0.071
2015-05-05,ZQAI,2015Q1,2015-03-31,0.0753,0.2182,0.0161,0.4925,19.76,2.19,15.83,0.0506
2015-05-05,ZQLH,2015Q1,2015-03-31,0.1,0.5569,0.0219,0.419,23.31,4.05,19.24,0.0429
2015-05-05,ZQPT,2015Q1,2015-03-31,0.0494,0.416,0.0172,0.289,52.85,3.32,33.22,0.0189
2015-08-04,AAPL,2015Q2,2015-06-30,0.5017,0.388,0.0486,0.2929,21.73,11.46,15.28,0.046
2015-08-04,AMT,2015Q2,2015-06-30,0.1403,0.6704,0.0343,0.7217,48.23,11.61,23.21,0.0207
2015-08-04,AMZN,2015Q2,2015-06-30,0.1095,0.4356,0.0302,0.5634,40.5,12.16,30.41,0.0247
2015-08-04,APD,2015Q2,2015-06-30,0.1455,0.3155,0.0473,0.4128,20.44,4.36,16.36,0.0489
2015-08-04,BAC,2015Q2,2015-06-30,0.084,0.4817,0.0277,0.8639,12.11,1.41,15.32,0.0826
2015-08-04,CAT,2015Q2,2015-06-30,0.2946,0.3293,0.0488,0.6887,15.17,6.31,11.57,0.0659
2015-08-04,CVX,2015Q2,2015-06-30,0.091,0.3443,0.0395,0.3912,15.9,1.53,11.2,0.0629
2015-08-04,DUK,2015Q2,2015-06-30,0.0715,0.3017,0.023,0.7043,29.32,1.59,12.94,0.0341
2015-08-04,ECL,2015Q2,2015-06-30,0.1862,0.3978,0.0378,0.4664,23.48,7.05,18.13,0.0426
2015-08-04,GOOGL,2015Q2,2015-06-30,0.2503,0.5338,0.0333,0.1533,18.31,5.76,18.43,0.0546
2015-08-04,HD,2015Q2,2015-06-30,0.4331,0.3703,0.0587,0.6862,16.59,106.37,17.02,0.0603
2015-08-04,HON,2015Q2,2015-06-30,0.2971,0.3004,0.0407,0.5174,17.74,8.38,15.7,0.0564
2015-08-04,JNJ,2015Q2,2015-06-30,0.2542,0.6248,0.0603,0.4004,19.16,6.55,15.29,0.0522
2015-08-04,JPM,2015Q2,2015-06-30,0.1294,0.5568,0.0438,0.8737,13.27,1.98,15.83,0.0753
2015-08-04,KO,2015Q2,2015-06-30,0.4531,0.5683,0.0496,0.6766,24.7,8.99,17.99,0.0405
2015-08-04,LIN,2015Q2,2015-06-30,0.1191,0.4344,0.0443,0.4055,17.47,3.04,16.23,0.0572
2015-08-04,META,2015Q2,2015-06-30,0.2485,0.7742,0.0513,0.1209,19.06,5.96,13.91,0.0525
2015-08-04,MSFT,2015Q2,2015-06-30,0.3264,0.7038,0.0438,0.3452,20.6,7.91,17.8,0.0485
2015-08-04,NEE,2015Q2,2015-06-30,0.1252,0.4186,0.015,0.6189,34.92,3.36,17.92,0.0286
2015-08-04,NVDA,2015Q2,2015-06-30,0.3554,0.6304,0.021,0.2087,88.09,10.24,23.88,0.0114
2015-08-04,PG,2015Q2,2015-06-30,0.2212,0.5492,0.0554,0.3944,20.59,5.9,16.71,0.0486
2015-08-04,PLD,2015Q2,2015-06-30,0.0663,0.8014,0.0274,0.3979,31.28,2.67,22.6,0.032
2015-08-04,UNH,2015Q2,2015-06-30,0.2231,0.2644,0.0482,0.3283,14.32,3.89,11.68,0.0698
2015-08-04,UPS,2015Q2,2015-06-30,0.5212,0.2265,0.0567,0.7016,14.96,34.41,13.76,0.0669
2015-08-04,V,2015Q2,2015-06-30,0.3404,0.8145,0.0485,0.4411,27.25,11.28,27.56,0.0367
2015-08-04,WMT,2015Q2,2015-06-30,0.2208,0.2666,0.0363,0.6313,30.74,5.39,15.1,0.0325
2015-08-04,XOM,2015Q2,2015-06-30,0.1422,0.3368,0.0365,0.4403,15.51,1.76,11.02,0.0645
2015-08-04,ZQAI,2015Q2,2015-06-30,0.0847,0.2202,0.0175,0.5882,20.97,1.93,13.95,0.0477
2015-08-04,ZQLH,2015Q2,2015-06-30,0.0803,0.502,0.0292,0.4008,28.84,4.39,20.84,0.0347
2015-08-04,ZQPT,2015Q2,2015-06-30,0.0595,0.3824,0.0014,0.3414,47.17,3.1,30.98,0.0212
2015-11-04,AAPL,2015Q3,2015-09-30,0.4563,0.4343,0.0416,0.2744,21.91,11.31,15.07,0.0456
2015-11-04,AMT,2015Q3,2015-09-30,0.1974,0.7018,0.021,0.7546,52.49,10.79,21.58,0.0191
2015-11-04,AMZN,2015Q3,2015-09-30,0.1207,0.4127,0.0375,0.5319,61.59,15.73,39.32,0.0162
2015-11-04,APD,2015Q3,2015-09-30,0.1437,0.3079,0.0558,0.4488,25.28,4.46,16.73,0.0395
2015-11-04,BAC,2015Q3,2015-09-30,0.0993,0.5278,0.0263,0.917,13.09,1.34,14.53,0.0764
2015-11-04,CAT,2015Q3,2015-09-30,0.3297,0.3339,0.0573,0.6777,15.57,6.27,11.49,0.0642
2015-11-04,CVX,2015Q3,2015-09-30,0.1193,0.3736,0.0365,0.4407,14.11,1.81,13.3,0.0709
2015-11-04,DUK,2015Q3,2015-09-30,0.0713,0.3168,0.0127,0.7016,25.77,1.6,12.97,0.0388
2015-11-04,ECL,2015Q3,2015-09-30,0.1776,0.3834,0.0367,0.5224,24.8,6.77,17.41,0.0403
2015-11-04,GOOGL,2015Q3,2015-09-30,0.2172,0.5513,0.0477,0.1393,22.27,6.13,19.61,0.0449
2015-11-04,HD,2015Q3,2015-09-30,0.4134,0.313,0.0618,0.6722,20.21,107.37,17.18,0.0495
2015-11-04,HON,2015Q3,2015-09-30,0.2284,0.3291,0.0487,0.5262,18.62,8.09,15.16,0.0537
2015-11-04,JNJ,2015Q3,2015-09-30,0.3644,0.6683,0.0565,0.3846,18.11,6.31,14.71,0.0552
2015-11-04,JPM,2015Q3,2015-09-30,0.114,0.5682,0.0347,0.8882,12.76,1.78,14.28,0.0783
2015-11-04,KO,2015Q3,2015-09-30,0.3407,0.5558,0.0577,0.6521,23.73,9.03,18.06,0.0421
2015-11-04,LIN,2015Q3,2015-09-30,0.1181,0.4095,0.0559,0.4399,20.87,3.38,18.03,0.0479
2015-11-04,META,2015Q3,2015-09-30,0.2728,0.7903,0.0581,0.1339,23.87,6.3,14.7,0.0419
2015-11-04,MSFT,2015Q3,2015-09-30,0.3999,0.7006,0.044,0.304,23.46,8.13,18.29,0.0426
2015-11-04,NEE,2015Q3,2015-09-30,0.1292,0.4224,0.0164,0.5893,25.85,3.53,18.82,0.0387
2015-11-04,NVDA,2015Q3,2015-09-30,0.3394,0.6096,0.0305,0.22,33.3,10.79,25.17,0.03
2015-11-04,PG,2015Q3,2015-09-30,0.265,0.5244,0.0635,0.4691,23.79,5.84,16.54,0.042
2015-11-04,PLD,2015Q3,2015-09-30,0.0695,0.7488,0.0319,0.4935,43.24,2.67,22.6,0.0231
2015-11-04,UNH,2015Q3,2015-09-30,0.2605,0.2325,0.0481,0.3794,19.41,3.96,11.89,0.0515
2015-11-04,UPS,2015Q3,2015-09-30,0.6128,0.1925,0.0589,0.7098,18.04,35.15,14.06,0.0554
2015-11-04,V,2015Q3,2015-09-30,0.296,0.7999,0.0495,0.4709,22.1,11.98,29.29,0.0453
2015-11-04,WMT,2015Q3,2015-09-30,0.2312,0.2505,0.0389,0.6193,24.89,5.71,16.0,0.0402
2015-11-04,XOM,2015Q3,2015-09-30,0.1194,0.3087,0.043,0.4255,14.4,1.57,9.83,0.0694
2015-11-04,ZQAI,2015Q3,2015-09-30,0.0847,0.1914,0.0132,0.4899,20.04,1.83,13.22,0.0499
2015-11-04,ZQLH,2015Q3,2015-09-30,0.0985,0.5724,0.0282,0.3821,24.9,4.43,21.03,0.0402
2015-11-04,ZQPT,2015Q3,2015-09-30,0.0449,0.4063,0.0109,0.2897,70.95,2.95,29.51,0.0141
2016-02-04,AAPL,2015Q4,2015-12-31,0.3858,0.3999,0.0527,0.3042,19.26,11.77,15.7,0.0519
2016-02-04,AMT,2015Q4,2015-12-31,0.173,0.7052,0.0261,0.7385,34.3,10.87,21.74,0.0292
2016-02-04,AMZN,2015Q4,2015-12-31,0.1257,0.428,0.0251,0.5835,43.71,15.16,37.9,0.0229
2016-02-04,APD,2015Q4,2015-12-31,0.1535,0.3108,0.0467,0.4598,21.14,4.44,16.66,0.0473
2016-02-04,BAC,2015Q4,2015-12-31,0.1112,0.538,0.0255,0.9001,11.82,1.18,12.83,0.0846
2016-02-04,CAT,2015Q4,2015-12-31,0.3517,0.3165,0.0497,0.6783,17.5,5.56,10.19,0.0571
2016-02-04,CVX,2015Q4,2015-12-31,0.1086,0.3676,0.0381,0.4559,13.44,1.95,14.3,0.0744
2016-02-04,DUK,2015Q4,2015-12-31,0.0753,0.3045,0.0171,0.6722,26.05,1.63,13.23,0.0384
2016-02-04,ECL,2015Q4,2015-12-31,0.1798,0.3715,0.0412,0.5303,27.7,7.06,18.16,0.0361
2016-02-04,GOOGL,2015Q4,2015-12-31,0.2105,0.5582,0.0362,0.1331,16.21,6.8,21.76,0.0617
2016-02-04,HD,2015Q4,2015-12-31,0.5035,0.3495,0.0655,0.6475,22.87,115.94,18.55,0.0437
2016-02-04,HON,2015Q4,2015-12-31,0.2573,0.3128,0.0471,0.5673,20.98,8.14,15.26,0.0477
2016-02-04,JNJ,2015Q4,2015-12-31,0.2692,0.6717,0.0547,0.3974,17.16,6.37,14.87,0.0583
2016-02-04,JPM,2015Q4,2015-12-31,0.1304,0.5414,0.0453,0.8942,12.08,1.71,13.67,0.0828
2016-02-04,KO,2015Q4,2015-12-31,0.4621,0.6075,0.0397,0.651,20.29,8.64,17.27,0.0493
2016-02-04,LIN,2015Q4,2015-12-31,0.1149,0.4695,0.0539,0.4142,16.87,3.21,17.12,0.0593
2016-02-04,META,2015Q4,2015-12-31,0.2376,0.7948,0.0517,0.1238,23.14,5.74,13.39,0.0432
2016-02-04,MSFT,2015Q4,2015-12-31,0.4116,0.6679,0.0307,0.2832,21.77,8.48,19.08,0.0459
2016-02-04,NEE,2015Q4,2015-12-31,0.1248,0.4125,0.0264,0.587,29.76,3.34,17.8,0.0336
2016-02-04,NVDA,2015Q4,2015-12-31,0.3238,0.6365,0.0349,0.1175,37.74,12.39,28.92,0.0265
2016-02-04,PG,2015Q4,2015-12-31,0.2802,0.5311,0.0578,0.4907,25.24,5.66,16.04,0.0396
2016-02-04,PLD,2015Q4,2015-12-31,0.0678,0.8057,0.0178,0.3954,33.11,2.73,23.11,0.0302
2016-02-04,UNH,2015Q4,2015-12-31,0.2095,0.2601,0.0524,0.3466,18.62,4.08,12.24,0.0537
2016-02-04,UPS,2015Q4,2015-12-31,0.5886,0.2103,0.0614,0.7243,17.23,35.72,14.29,0.058
2016-02-04,V,2015Q4,2015-12-31,0.347,0.809,0.0547,0.4741,28.53,12.2,29.82,0.035
2016-02-04,WMT,2015Q4,2015-12-31,0.1916,0.2675,0.0349,0.5438,27.46,5.72,16.02,0.0364
2016-02-04,XOM,2015Q4,2015-12-31,0.15,0.3447,0.0443,0.4261,14.78,1.56,9.75,0.0677
2016-02-04,ZQAI,2015Q4,2015-12-31,0.0944,0.2251,0.0233,0.5235,19.49,2.04,14.72,0.0513
2016-02-04,ZQLH,2015Q4,2015-12-31,0.1011,0.5876,0.0246,0.2979,21.52,4.07,19.31,0.0465
2016-02-04,ZQPT,2015Q4,2015-12-31,0.0448,0.4325,0.0088,0.2607,70.98,3.03,30.26,0.0141
2016-05-05,AAPL,2016Q1,2016-03-31,0.5448,0.4108,0.0564,0.3001,20.77,13.23,17.64,0.0482
2016-05-05,AMT,2016Q1,2016-03-31,0.1778,0.7174,0.0272,0.6901,48.46,11.13,22.27,0.0206
2016-05-05,AMZN,2016Q1,2016-03-31,0.1262,0.4229,0.0304,0.5205,87.71,15.58,38.95,0.0114
2016-05-05,APD,2016Q1,2016-03-31,0.1341,0.295,0.0488,0.4193,19.53,4.56,17.1,0.0512
2016-05-05,BAC,2016Q1,2016-03-31,0.1016,0.4983,0.039,0.8688,12.17,1.28,13.87,0.0822
2016-05-05,CAT,2016Q1,2016-03-31,0.3534,0.308,0.042,0.6473,18.66,5.48,10.05,0.0536
2016-05-05,CVX,2016Q1,2016-03-31,0.1017,0.3706,0.0376,0.4603,14.72,1.98,14.51,0.068
2016-05-05,DUK,2016Q1,2016-03-31,0.077,0.3095,0.03,0.6912,32.08,1.56,12.68,0.0312
2016-05-05,ECL,2016Q1,2016-03-31,0.2052,0.4236,0.0344,0.4725,27.98,7.28,18.73,0.0357
2016-05-05,GOOGL,2016Q1,2016-03-31,0.1962,0.5402,0.0337,0.1056,18.16,7.3,23.36,0.0551
2016-05-05,HD,2016Q1,2016-03-31,0.4696,0.3179,0.0539,0.6535,19.9,124.21,19.87,0.0503
2016-05-05,HON,2016Q1,2016-03-31,0.2775,0.346,0.0494,0.5665,22.08,8.37,15.69,0.0453
2016-05-05,JNJ,2016Q1,2016-03-31,0.2634,0.6842,0.0542,0.4613,17.52,6.52,15.22,0.0571
2016-05-05,JPM,2016Q1,2016-03-31,0.1328,0.5665,0.0443,0.8839,11.5,1.8,14.4,0.0869
2016-05-05,KO,2016Q1,2016-03-31,0.4796,0.6154,0.0543,0.6506,22.09,8.49,16.98,0.0453
2016-05-05,LIN,2016Q1,2016-03-31,0.1458,0.4138,0.059,0.4377,25.05,3.32,17.71,0.0399
2016-05-05,META,2016Q1,2016-03-31,0.2185,0.7738,0.0478,0.1197,23.17,6.25,14.59,0.0432
2016-05-05,MSFT,2016Q1,2016-03-31,0.4743,0.7105,0.0385,0.3093,20.64,8.79,19.79,0.0484
2016-05-05,NEE,2016Q1,2016-03-31,0.1064,0.3995,0.0289,0.5883,25.06,3.34,17.82,0.0399
2016-05-05,NVDA,2016Q1,2016-03-31,0.3615,0.6514,0.0235,0.1695,36.99,11.42,26.64,0.027
2016-05-05,PG,2016Q1,2016-03-31,0.2317,0.4935,0.0485,0.4489,21.8,6.0,17.01,0.0459
2016-05-05,PLD,2016Q1,2016-03-31,0.0633,0.8024,0.0335,0.431,34.12,2.93,24.79,0.0293
2016-05-05,UNH,2016Q1,2016-03-31,0.2394,0.2684,0.059,0.398,17.66,4.39,13.16,0.0566
2016-05-05,UPS,2016Q1,2016-03-31,0.5418,0.1966,0.0563,0.7111,18.24,33.87,13.55,0.0548
2016-05-05,V,2016Q1,2016-03-31,0.3357,0.779,0.049,0.4132,25.61,12.72,31.1,0.039
2016-05-05,WMT,2016Q1,2016-03-31,0.2344,0.2428,0.0367,0.5885,23.6,6.08,17.02,0.0424
2016-05-05,XOM,2016Q1,2016-03-31,0.1193,0.3187,0.0465,0.4516,14.17,1.78,11.15,0.0705
2016-05-05,ZQAI,2016Q1,2016-03-31,0.0888,0.1906,0.013,0.5447,20.61,1.76,12.69,0.0485
2016-05-05,ZQLH,2016Q1,2016-03-31,0.0936,0.5652,0.0401,0.3029,23.71,4.05,19.25,0.0422
2016-05-05,ZQPT,2016Q1,2016-03-31,0.0498,0.4191,0.0091,0.2908,46.16,2.76,27.6,0.0217
2016-08-04,AAPL,2016Q2,2016-06-30,0.4129,0.4258,0.0579,0.2914,24.54,12.16,16.22,0.0408
2016-08-04,AMT,2016Q2,2016-06-30,0.1762,0.6886,0.0368,0.804,53.12,11.44,22.87,0.0188
2016-08-04,AMZN,2016Q2,2016-06-30,0.1404,0.4476,0.037,0.5779,54.51,15.56,38.89,0.0183
2016-08-04,APD,2016Q2,2016-06-30,0.1452,0.3184,0.0508,0.459,21.77,4.51,16.91,0.0459
2016-08-04,BAC,2016Q2,2016-06-30,0.108,0.5141,0.0291,0.9314,12.89,1.3,14.04,0.0776
2016-08-04,CAT,2016Q2,2016-06-30,0.3226,0.322,0.0525,0.6086,16.14,5.39,9.88,0.062
2016-08-04,CVX,2016Q2,2016-06-30,0.0851,0.3228,0.0471,0.3843,17.42,1.8,13.17,0.0574
2016-08-04,DUK,2016Q2,2016-06-30,0.0926,0.2788,0.0201,0.7229,22.56,1.62,13.18,0.0443
2016-08-04,ECL,2016Q2,2016-06-30,0.166,0.407,0.0329,0.5087,26.17,7.34,18.86,0.0382
2016-08-04,GOOGL,2016Q2,2016-06-30,0.2415,0.577,0.0462,0.1418,18.54,6.96,22.27,0.0539
2016-08-04,HD,2016Q2,2016-06-30,0.4988,0.3187,0.0626,0.6254,19.11,131.59,21.05,0.0523
2016-08-04,HON,2016Q2,2016-06-30,0.2714,0.3208,0.0484,0.5265,21.97,8.64,16.2,0.0455
2016-08-04,JNJ,2016Q2,2016-06-30,0.3665,0.6809,0.0624,0.4031,18.11,6.57,15.33,0.0552
2016-08-04,JPM,2016Q2,2016-06-30,0.1333,0.5593,0.0367,0.8878,10.61,1.81,14.46,0.0942
2016-08-04,KO,2016Q2,2016-06-30,0.4479,0.6126,0.058,0.5874,30.03,7.86,15.71,0.0333
2016-08-04,LIN,2016Q2,2016-06-30,0.1544,0.4623,0.048,0.3745,17.85,3.07,16.37,0.056
2016-08-04,META,2016Q2,2016-06-30,0.254,0.7886,0.0521,0.1402,24.52,7.31,17.05,0.0408
2016-08-04,MSFT,2016Q2,2016-06-30,0.4404,0.7116,0.0364,0.2738,20.77,8.55,19.23,0.0482
2016-08-04,NEE,2016Q2,2016-06-30,0.1188,0.3941,0.0241,0.6083,32.18,3.53,18.85,0.0311
2016-08-04,NVDA,2016Q2,2016-06-30,0.33,0.6202,0.0346,0.1959,35.13,10.86,25.34,0.0285
2016-08-04,PG,2016Q2,2016-06-30,0.23,0.5142,0.0493,0.5131,28.24,6.1,17.29,0.0354
2016-08-04,PLD,2016Q2,2016-06-30,0.0799,0.7268,0.0282,0.4852,38.67,3.01,25.49,0.0259
2016-08-04,UNH,2016Q2,2016-06-30,0.1947,0.2416,0.0504,0.3079,14.86,4.42,13.26,0.0673
2016-08-04,UPS,2016Q2,2016-06-30,0.4817,0.2225,0.0633,0.7058,17.32,32.29,12.92,0.0577
2016-08-04,V,2016Q2,2016-06-30,0.3283,0.7823,0.051,0.4275,27.02,12.15,29.7,0.037
2016-08-04,WMT,2016Q2,2016-06-30,0.1993,0.2578,0.0435,0.575,25.33,6.12,17.13,0.0395
2016-08-04,XOM,2016Q2,2016-06-30,0.1251,0.3044,0.0326,0.4129,16.59,1.89,11.78,0.0603
2016-08-04,ZQAI,2016Q2,2016-06-30,0.0845,0.1975,0.0189,0.53,18.99,1.71,12.35,0.0527
2016-08-04,ZQLH,2016Q2,2016-06-30,0.1076,0.5279,0.0333,0.3987,25.34,3.92,18.63,0.0395
2016-08-04,ZQPT,2016Q2,2016-06-30,0.0549,0.3733,0.0118,0.2936,55.31,2.78,27.76,0.0181
2016-11-04,AAPL,2016Q3,2016-09-30,0.3835,0.4501,0.0558,0.3188,19.39,12.53,16.7,0.0516
2016-11-04,AMT,2016Q3,2016-09-30,0.193,0.7206,0.0295,0.7176,38.16,12.03,24.06,0.0262
2016-11-04,AMZN,2016Q3,2016-09-30,0.1162,0.4118,0.0302,0.5422,35.49,15.76,39.4,0.0282
2016-11-04,APD,2016Q3,2016-09-30,0.1602,0.3064,0.0494,0.4301,17.71,4.47,16.77,0.0565
2016-11-04,BAC,2016Q3,2016-09-30,0.1044,0.5147,0.0271,0.84,12.65,1.14,12.34,0.079
2016-11-04,CAT,2016Q3,2016-09-30,0.3065,0.2896,0.0538,0.6696,17.87,5.0,9.16,0.056
2016-11-04,CVX,2016Q3,2016-09-30,0.0964,0.3545,0.0342,0.4395,16.61,1.86,13.61,0.0602
2016-11-04,DUK,2016Q3,2016-09-30,0.0774,0.2699,0.0205,0.7105,28.93,1.74,14.1,0.0346
2016-11-04,ECL,2016Q3,2016-09-30,0.1583,0.4045,0.0376,0.4778,25.72,7.17,18.43,0.0389
2016-11-04,GOOGL,2016Q3,2016-09-30,0.2439,0.5616,0.0321,0.0952,20.57,7.16,22.9,0.0486
2016-11-04,HD,2016Q3,2016-09-30,0.3966,0.3318,0.0573,0.6992,18.57,127.23,20.36,0.0538
2016-11-04,HON,2016Q3,2016-09-30,0.2831,0.3393,0.0556,0.5755,20.0,8.83,16.56,0.05
2016-11-04,JNJ,2016Q3,2016-09-30,0.2686,0.6286,0.0611,0.4035,22.02,6.62,15.44,0.0454
2016-11-04,JPM,2016Q3,2016-09-30,0.1433,0.5257,0.0455,0.8928,11.38,1.98,15.8,0.0878
2016-11-04,KO,2016Q3,2016-09-30,0.3543,0.5702,0.0529,0.6412,23.03,8.06,16.11,0.0434
2016-11-04,LIN,2016Q3,2016-09-30,0.1245,0.4216,0.0483,0.4391,20.49,2.86,15.25,0.0488
2016-11-04,META,2016Q3,2016-09-30,0.2556,0.7837,0.0546,0.0958,20.38,7.68,17.93,0.0491
2016-11-04,MSFT,2016Q3,2016-09-30,0.4012,0.7071,0.0411,0.288,25.63,8.57,19.29,0.039
